index,acc_x_n,acc_y_n,acc_z_n,gyr_x_n,gyr_y_n,gyr_z_n,mag_x_n,mag_y_n,mag_z_n,acc_x_r,acc_y_r,acc_z_r,gyr_x_r,gyr_y_r,gyr_z_r,mag_x_r,mag_y_r,mag_z_r,q1n,q2n,q3n,q4n,q1r,q2r,q3r,q4r
1917,-0.730712891,-0.066894531,-0.583984375,3.105245831,1.276719426,-2.581668361,1434,-5954,-10996,-0.93359375,-0.076171875,0.028076172,-2.943325637,-1.053546527,-0.006391587,-6761,2439,4556,0.199659909,-0.288948088,0.457642992,0.816827898,0.699010795,0.48773427,0.318893117,-0.41449532
1918,-0.719238281,-0.049072266,-0.578125,2.354767036,1.178715098,-3.110039521,1368,-6227,-10992,-0.997314453,0.154052734,0.016845703,-3.165965904,-0.801078856,-0.551274346,-6724,2320,4617,0.253336226,-0.330485973,0.483004219,0.770264047,0.72759384,0.432984035,0.340361903,-0.409005873
1919,-0.693359375,-0.016601563,-0.573974609,2.236522683,0.442617373,-2.572080981,1368,-6227,-10992,-1.144775391,0.09375,0.03515625,-0.842091537,-0.169377045,-0.879908424,-6724,2320,4617,0.303106794,-0.353692526,0.503327616,0.727797485,0.727367015,0.41371045,0.354181966,-0.417535656
1920,-0.768310547,-0.034912109,-0.483642578,1.324656326,0.215183416,-1.942509699,1407,-6283,-11009,-1.270996094,-0.123046875,-0.208740234,0.747283002,1.254881505,-1.632517748,-6722,2265,4534,0.338557981,-0.37118988,0.510863892,0.697577702,0.696201797,0.423569552,0.381893857,-0.435946067
1921,-0.717773438,-0.033447266,-0.490478516,1.204281445,0.768055659,-2.181661565,1407,-6283,-11009,-1.192382813,-0.501464844,-0.086914063,3.387540907,-0.150734918,-2.542253576,-6722,2265,4534,0.369549384,-0.398422518,0.517272646,0.661151843,0.64226774,0.447877445,0.373319713,-0.497524206
1922,-0.743896484,-0.018798828,-0.510986328,0.491619537,0.89322423,-1.624528265,1374,-6224,-10879,-1.015625,-0.627197266,0.063720703,2.059156155,-1.035969664,-3.243730208,-6772,2466,4564,0.385123592,-0.425660889,0.518307459,0.633916402,0.595596217,0.437401619,0.370122522,-0.562986935
1923,-0.670410156,0.007324219,-0.579833984,-0.206128668,0.500141653,-0.688160826,1374,-6224,-10879,-1.077148438,-0.411376953,-0.072998047,-2.481533504,-1.011468582,-2.797917041,-6772,2466,4564,0.386157002,-0.443204699,0.515205539,0.623711165,0.58999851,0.374828583,0.411544294,-0.58483894
1924,-0.625976563,0.007568359,-0.648681641,-0.779773567,-0.383495197,0.166713884,1412,-6126,-10907,-1.167480469,-0.246582031,-0.124755859,-3.921238389,-0.475640571,-0.336623562,-6810,2930,4907,0.38019868,-0.445441793,0.505798188,0.633402531,0.616250697,0.320102919,0.454794155,-0.5576123
1925,-0.675048828,0.031982422,-0.705566406,-1.235706746,-0.893756862,0.460726869,1412,-6126,-10907,-1.066162109,-0.105712891,-0.0390625,-2.084189869,1.352885834,0.371777288,-6810,2930,4907,0.371327594,-0.44154295,0.489235316,0.654067616,0.619917055,0.313405935,0.492867903,-0.523985492
1926,-0.811035156,0.091308594,-0.709960938,-1.503088119,-0.981641178,0.372842553,1393,-5991,-10850,-0.799072266,-0.069824219,-0.063232422,-0.270577167,1.164866661,-0.502804814,-6786,2935,4696,0.361729694,-0.438732996,0.467242594,0.677015026,0.603990188,0.318172116,0.514170664,-0.519221422
